type,latitude,longitude,utm_zone,utm_easting,utm_northing,altitude,(m),name,desc,kml_folder
T,30.738621,78.249106224,44R,236620.8,3403868.4,1968.6,,,,
T,30.732885056,78.255771472,44R,237243.6,3403216.7,1732.6,,,,
T,30.718591108,78.282427068,44R,239758.3,3401569.6,1355.8,,,,
T,30.710019656,78.306021624,44R,241995.7,3400564.6,1717.1,,,,
T,30.698537359,78.329837731,44R,244247.1,3399236.9,1585.1,,,,
T,30.695697712,78.346830631,44R,245867.8,3398883.4,1122.0,,,,
T,30.692847711,78.360420792,44R,247162.6,3398536.7,1094.9,,,,
T,30.689997197,78.374006458,44R,248456.9,3398190.1,1170.0,,,,
T,30.690031504,78.387583619,44R,249758.0,3398163.5,1393.8,,,,
T,30.690072615,78.404549348,44R,251383.8,3398130.3,1826.6,,,,
T,30.687212051,78.432134071,44R,254019.7,3397752.3,2244.3,,,,
T,30.684384773,78.459254579,44R,256611.4,3397379.7,1998.4,,,,
T,30.68154111,78.479587164,44R,258552.6,3397020.5,2181.3,,,,
T,30.681565709,78.493126352,44R,259850.1,3396994.1,2108.7,,,,
T,30.681589014,78.506661826,44R,261147.2,3396967.8,1984.7,,,,
T,30.681615849,78.52357516,44R,262768.0,3396934.9,2547.1,,,,
T,30.681645322,78.54386323,44R,264712.2,3396895.4,2415.4,,,,
T,30.681667538,78.560763047,44R,266331.6,3396862.6,2760.5,,,,
T,30.681692478,78.577604308,44R,267945.5,3396830.4,2924.6,,,,
T,30.681747796,78.607739017,44R,270833.2,3396774.6,2852.7,,,,
T,30.681794735,78.63448847,44R,273396.5,3396725.4,3318.3,,,,
T,30.68470757,78.657924193,44R,275648.8,3397001.3,3102.3,,,,
T,30.687606899,78.674672436,44R,277260.3,3397289.3,2820.4,,,,
T,30.687616036,78.688121813,44R,278548.9,3397263.7,2675.1,,,,
T,30.687622939,78.701575541,44R,279838.0,3397238.0,2525.9,,,,
T,30.687629814,78.71838938,44R,281449.0,3397205.9,2813.5,,,,
T,30.687633594,78.73183783,44R,282737.5,3397180.2,3199.2,,,,
T,30.687629799,78.755425235,44R,284997.4,3397134.3,3720.7,,,,
T,30.690470455,78.779203225,44R,287281.9,3397403.9,3203.0,,,,
T,30.690448377,78.792772348,44R,288581.8,3397375.8,3780.6,,,,
T,30.693282034,78.8097939,44R,290218.8,3397658.0,3925.1,,,,
T,30.693272843,78.826572288,44R,291826.2,3397625.7,3589.3,,,,
T,30.693289429,78.846515201,44R,293736.8,3397590.7,3311.0,,,,
T,30.693231778,78.863556957,44R,295369.3,3397553.1,2653.9,,,,
T,30.69317208,78.880577599,44R,296999.8,3397515.5,3440.4,,,,
T,30.690265451,78.894109066,44R,298290.1,3397168.9,3953.6,,,,
T,30.690301156,78.920519723,44R,300820.4,3397125.7,4213.8,,,,
T,30.687498239,78.946742193,44R,303326.9,3396768.7,3136.3,,,,
T,30.684690678,78.979637843,44R,306472.9,3396400.3,2657.3,,,,
T,30.681789226,78.999709917,44R,308390.2,3396044.2,2947.0,,,,
T,30.678889363,79.016433462,44R,309986.8,3395694.3,3069.9,,,,
T,30.675936681,79.043365857,44R,312561.6,3395321.7,2370.9,,,,
T,30.675881926,79.060212644,44R,314175.6,3395287.6,3352.2,,,,
T,30.67583667,79.073680947,44R,315466.0,3395260.4,3242.7,,,,
T,30.672898887,79.093835313,44R,317391.5,3394901.8,3272.1,,,,
T,30.669946743,79.117340189,44R,319638.2,3394536.5,2687.7,,,,
T,30.669870333,79.137497393,44R,321569.4,3394495.9,3575.9,,,,
T,30.666940127,79.154250546,44R,323169.3,3394144.5,4101.5,,,,
T,30.666880686,79.170993347,44R,324773.5,3394111.7,3749.9,,,,
T,30.663964655,79.187669807,44R,326366.3,3393762.6,3033.2,,,,
T,30.66389712,79.20771664,44R,328287.1,3393724.2,2534.1,,,,
T,30.663862707,79.234274353,44R,330831.8,3393680.1,4033.3,,,,
T,30.663753214,79.261019656,44R,333394.4,3393628.0,4625.7,,,,
T,30.663658883,79.274462388,44R,334682.3,3393597.7,4660.1,,,,
T,30.663526532,79.294563148,44R,336608.1,3393553.6,4883.4,,,,
T,30.663467214,79.307896789,44R,337885.7,3393527.7,4883.6,,,,
T,30.671915037,79.334606035,44R,340458.8,3394425.8,5402.6,,,,
T,30.677527842,79.357934674,44R,342703.1,3395015.0,5149.7,,,,
T,30.68598379,79.381269594,44R,344952.2,3395919.8,4250.4,,,,
T,30.691664291,79.397929854,44R,346557.1,3396526.6,4301.0,,,,
T,30.694506471,79.414591865,44R,348157.6,3396818.9,4030.7,,,,
T,30.703071783,79.434645062,44R,350091.7,3397741.3,4375.0,,,,
T,30.711674141,79.458090206,44R,352350.3,3398663.7,4903.1,,,,
T,30.717277445,79.484808391,44R,354917.5,3399249.9,3808.0,,,,
T,30.719938741,79.508089186,44R,357150.8,3399515.0,3645.8,,,,
